time,intensifier_fraction,personal_fraction,iqv,entropy,counts,lexical_density
1369408195,0.9973823512302864,0.00019389990886704283,0.9975291641788688,10.30671735907504,51573,0.902817365675832
1370012995,0.9965877869361484,0.0003323584153150758,0.9975829747610047,10.46100902991215,90264,0.8904989807675683
1370617795,0.9966721462651823,0.0003742164842361306,0.998139868078917,10.726098532725649,74823,0.9041471205377998
1371222595,0.9971834592241386,0.00032006145179874534,0.9984644579547145,10.773687731419086,46866,0.9052618102675433
1371827395,0.9968403821995939,0,0.9970905201162226,10.426576997777902,26269,0.8996916517568632
1372432195,0.997909535297924,0.00013262766992130757,0.9981923624987186,10.782130841591306,158338,0.906099609695731
1373036995,0.9968172457139408,0.00016047500601781272,0.9969559292431043,10.401499043432164,149556,0.8848056915135077
1373641795,0.9975023902905673,0.00023415091026166365,0.9966688441353301,10.109524337789178,153747,0.8793667518716055
1374246595,0.9966556012485058,0.0002725065649308824,0.9973500690301532,10.408734333310981,161464,0.8949363325570395
1374851395,0.9964355427310327,0.00033947212085207504,0.9977905206713464,10.379332339815962,94264,0.8891623525417779
1375456195,0.9966633626045471,0.00025129486660430833,0.9972927398044481,10.502792691121279,143258,0.8925086208100221
1376060995,0.9974793767186504,3.2735367290821005e-05,0.9969677492814435,10.478482101194242,91644,0.9049037580202021
1376665795,0.9978344934261205,0.00027068832173240525,0.9972078813594424,10.330078196019254,77580,0.8946635730858273
1377270595,0.9967657610797984,8.002240627375665e-05,0.9979609644693258,10.689793085844828,149958,0.8993518185092111
1377875395,0.9978233360383997,0.0002269507448110807,0.9974273338433068,10.684042220212339,290812,0.9030370136032854
1378480195,0.9963109640319494,0.00021700211577062878,0.9975380003542574,10.650336236114367,331794,0.8928913723575913
1379084995,0.9978561825515206,0.0002725191671814251,0.9974951450624698,10.691563421070903,330252,0.9060717270448161
1379689795,0.9970237297224369,0.000455825177637753,0.9959448833439124,10.24271964765359,223770,0.8994771417079601
1380294595,0.9967413821194557,0.0002094825780322603,0.9972487410614618,10.555948827781203,257778,0.901473360798787
1380899395,0.9970476458262975,0.00029478190674007493,0.9973303882483058,10.600228512565351,220502,0.8993387815076119
1381504195,0.996350995740471,0.00013380611493945274,0.9980054639560629,10.68897213407222,358728,0.8979700497312388
1382108995,0.997272425172707,0.0001974119296029059,0.9976248394528106,10.627674071587498,303933,0.9014256431516635
1382713795,0.9970173694367455,0.00033627697526171117,0.9972947972927555,10.699156381725123,478772,0.9002865664658237
1383318595,0.9981870635157942,0,0.9977371824675073,10.785471508128618,444031,0.9089275298345891
1383923395,0.995780454288283,0.00012933473445962332,0.99755597651715,10.769867442533622,432985,0.8892571336189655
1384528195,0.9967779598595896,0.0002650387857412598,0.9976456539846564,10.792085551220422,577274,0.8926055911057627
1385132995,0.996565231371897,0.00017539244058581075,0.9968802149362469,10.480954477567161,478926,0.8907305095150734
1385737795,0.9969399904747176,0.00030957294808699794,0.9977422574109583,10.630326422878348,251960,0.898007620257218
1386342595,0.9968239655748516,0.00017309186347479901,0.9974294290226526,10.529191568289386,248423,0.8881585038422418
1386947395,0.9969493593655002,0.00024959787009817515,0.9969739451227067,10.414596775142757,180290,0.8904820012202878
1387552195,0.9973724315518625,0.00020436643485673915,0.9969852641025856,10.457932007259453,171261,0.8964329298556207
1388156995,0.996705204983785,0.0001518642993443424,0.9967057480004581,10.032744286341757,151451,0.9014598781123877
1388761795,0.996482527476241,0.00015311851372962673,0.9975395452717,10.462217523445737,235112,0.8993075640545546
1389366595,0.9965582752829374,0.00019273658415705277,0.9968325174627269,10.563805601980997,472147,0.9000226624335413
1389971395,0.997170921301318,0.00021151990270084476,0.9967031798490275,10.44329122486431,529501,0.8834921935935376
1390576195,0.9971606333372822,0.00036888386652638686,0.9971985552774222,10.503048226177755,384945,0.890483056021034
1391180995,0.9967630843814885,0.00011528740558996112,0.9967345323097307,10.401284088531577,338285,0.8918131161594289
1391785795,0.996930526133799,0.00023777614456789588,0.9962067150228164,10.287942208578055,323834,0.8985344343089734
1392390595,0.9972421085723766,8.573755733699147e-05,0.997152367717974,10.646403529576446,489867,0.8913705148540756
1392995395,0.9967118021010181,0.0001180378732947743,0.9975916377398664,10.847179759602396,415121,0.888791460802951
1393600195,0.9966504227678084,0.00020004419581070237,0.9976137710129902,10.79136737069809,429905,0.9036763936218356
1394204995,0.997417152872214,4.4200508882380527e-05,0.9973919592089697,10.647289668044523,520356,0.909262120548191
1394809795,0.9968479681373934,0.00014313274005849774,0.997410025385933,10.746620849853633,642760,0.8961525297155876
1395414595,0.99649698100237,0.00021206617250012273,0.9968019598369148,10.500488675483405,509275,0.8906190172303449
1396019395,0.9964634048935398,8.209160535681006e-05,0.9972928216298677,10.569438543825235,450716,0.8886837831361625
1396624195,0.9979810278048646,0.0001172846918344722,0.9974914254111221,10.652793336590106,358103,0.9124246376042789
1397228995,0.9971851338213342,0.00021820668051875,0.997459096071366,10.678557729677033,412453,0.896378496459015
1397833795,0.9965908631279269,0.00016178954646923208,0.9968967663595846,10.531898887144605,519193,0.8961792628174519
1398438595,0.9963365394817914,0.00025316597077049943,0.9974498280771273,10.673420600861746,537197,0.8885436813682892
1399043395,0.9968254067938341,0.0003077251574736393,0.9978480957900466,10.773022188621013,318466,0.8932130902514094
1399648195,0.9972420998918696,0.00020046410477590542,0.9985269998722538,10.98228311848372,329236,0.8905587481320378
1400252995,0.9970792767732652,1.9868865487780646e-05,0.9986325830762267,10.832897409636043,301980,0.8858931055036462
1400857795,0.996948213321622,0.000455090995890796,0.9985010536026276,10.847814878680005,224131,0.8751221383922362
1401462595,0.9965191919960985,0.00013314566135352076,0.9985847061017721,10.935757327825547,315444,0.8788564689771097
1402067395,0.9977020419298595,0.00019936622526284863,0.9985095688482881,10.802275319917161,95302,0.8830454764852688
1402672195,0.9953815877782448,0.00012512939517000533,0.9983975537858378,10.401405444952825,87909,0.8747796016334848
1403276995,0.9954540962545627,0.0005929439667951378,0.9987557070406853,10.279728181071846,10119,0.8879335902757145
1403881795,0.9953188999415032,0.00014371798425261517,0.9988244660456064,11.070460839348428,97413,0.884358350528178
